station_id,month,avg_pm25,avg_temp,avg_wind_speed,avg_wind_direction,period_Post-COVID,period_Pre-COVID,wind_cardinal_SE,wind_cardinal_W,comuna_Pudahuel,comuna_Puente Alto,comuna_Santiago
D14,2018-09-01,22.835617517328295,11.900708783998907,2.05816357478065,164.57172936021013,0.0,1.0,0.0,0.0,0.0,0.0,0.0
D14,2018-10-01,19.573966023241386,13.226412282204885,1.846492553628414,186.06525604544598,0.0,1.0,0.0,0.0,0.0,0.0,0.0
D14,2018-11-01,17.908549783549784,18.325437443592488,2.0901967798452334,179.7347053946871,0.0,1.0,0.0,0.0,0.0,0.0,0.0
D14,2018-12-01,20.091545893719804,18.864428826409565,2.0127224509759376,191.75466842967805,0.0,1.0,0.0,0.0,0.0,0.0,0.0
D14,2019-01-01,22.021383186705766,20.341874822826462,1.9878084418089323,182.80418720203411,0.0,1.0,0.0,0.0,0.0,0.0,0.0
D14,2019-02-01,21.926892841458056,20.824244417358923,1.9376352126048417,172.7438668502042,0.0,1.0,0.0,0.0,0.0,0.0,0.0
D14,2019-03-01,21.079545454545453,17.522023719657554,1.840872802343784,169.90166867256164,0.0,1.0,0.0,0.0,0.0,0.0,0.0
D14,2019-04-01,26.934653209109733,14.23910830856357,1.0100340248063806,157.21952593470542,0.0,1.0,1.0,0.0,0.0,0.0,0.0
D14,2019-05-01,21.831989247311828,10.9554020835297,0.7023507913496967,145.12189984898413,0.0,1.0,1.0,0.0,0.0,0.0,0.0
D14,2019-06-01,19.506944444444443,8.088038834189582,0.7402780658461982,132.3583623432451,0.0,1.0,1.0,0.0,0.0,0.0,0.0
D14,2019-07-01,33.06586021505377,8.069463570246732,0.7980523420803209,135.6447022489963,0.0,1.0,1.0,0.0,0.0,0.0,0.0
D14,2019-08-01,22.192028985507246,10.97535911153187,0.7971644191449755,149.41343003280144,0.0,1.0,1.0,0.0,0.0,0.0,0.0
D14,2019-09-01,14.759722222222223,11.315057247214847,0.8184896459182104,173.65499253811106,0.0,1.0,0.0,0.0,0.0,0.0,0.0
D14,2019-10-01,12.409845297292701,13.795549438139584,0.7276812740361832,175.11130752586885,0.0,1.0,0.0,0.0,0.0,0.0,0.0
D14,2019-11-01,11.684090909090909,18.464838342293344,0.8295992469146373,181.13859202119738,0.0,1.0,0.0,0.0,0.0,0.0,0.0
D14,2019-12-01,12.827324973876697,20.526785446807757,0.8403823121295195,187.27337954709523,0.0,1.0,0.0,0.0,0.0,0.0,0.0
D14,2020-01-01,14.005747126436782,21.217727795414543,0.8036249564705021,197.88071571502448,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D14,2020-02-01,14.995689655172415,20.532912792830633,0.8297815973135836,185.34124191465048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D14,2020-03-01,15.780448717948717,18.89867351146845,0.7409546898516755,171.4464016977387,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D14,2020-04-01,17.053260869565218,15.38917869479184,0.7416046488071102,162.4162026160037,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D14,2020-05-01,20.95124633431085,12.305673530447285,0.802387651979408,146.7891959134901,0.0,0.0,1.0,0.0,0.0,0.0,0.0
D14,2020-06-01,14.687192577953448,7.750017937829372,0.7175631685302395,130.68181401124428,0.0,0.0,1.0,0.0,0.0,0.0,0.0
D14,2020-07-01,16.84472884525479,8.469238108489881,0.7501201825984352,134.247409043467,0.0,0.0,1.0,0.0,0.0,0.0,0.0
D14,2020-08-01,20.427419354838708,8.871278764539829,0.7825374140533098,158.68532601837572,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D14,2020-09-01,16.65634920634921,12.079593948807036,0.8343811300883,167.6888219089735,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D14,2020-10-01,11.814340813464236,14.719838719116632,0.8218556013507546,175.41292350656687,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D14,2020-11-01,12.851992753623188,17.22515586896795,0.7927398642584691,177.81576874480731,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D14,2020-12-01,10.264890282131661,19.495907533853902,0.8423590123264023,178.1447214892541,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D14,2021-01-01,11.783602150537636,19.926311506507215,0.7875271683774128,177.1495786191395,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D14,2021-02-01,13.265422077922079,18.626925886193394,0.7172964050579923,183.13302683277234,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D14,2021-03-01,14.228260869565217,17.944109224754833,0.698214540900865,166.71202638874882,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D14,2021-04-01,18.972348484848485,14.008072883312147,0.7602452923269029,151.10507132808368,0.0,0.0,1.0,0.0,0.0,0.0,0.0
D14,2021-05-01,26.434841047218328,11.226410652632298,0.8113151517753934,125.12974198647419,0.0,0.0,1.0,0.0,0.0,0.0,0.0
D14,2021-06-01,21.849879227053137,9.733691833857536,0.8274941646705432,125.37559537986914,0.0,0.0,1.0,0.0,0.0,0.0,0.0
D14,2021-07-01,28.661290322580644,9.11095190779256,0.9898853965969856,124.90792563397397,0.0,0.0,1.0,0.0,0.0,0.0,0.0
D14,2021-08-01,27.423111960380357,9.675895216828557,0.7812835187195456,150.54470596089936,0.0,0.0,1.0,0.0,0.0,0.0,0.0
D14,2021-09-01,15.134722222222223,11.217831750772893,0.8455007078643475,156.82159374985432,0.0,0.0,1.0,0.0,0.0,0.0,0.0
D14,2021-10-01,11.216573165030388,14.379329584764712,0.8284401249448665,166.05516416061658,0.0,0.0,0.0,0.0,0.0,0.0,0.0
