FECHA (YYMMDD);HORA (HHMM);;
180110;1800;24,7062;
180110;1900;22,6225;
180110;2000;21,0554;
180110;2100;19,9134;
180110;2200;19,3797;
180110;2300;18,446;
180111;0000;17,6707;
180111;0100;16,4953;
180111;0200;16,1449;
180111;0300;15,7431;
180111;0400;15,3846;
180111;0500;14,8011;
180111;0600;15,2259;
180111;0700;17,2598;
180111;0800;20,8761;
180111;0900;23,9507;
180111;1000;25,6171;
180111;1100;27,7417;
180111;1200;28,1569;
180111;1300;28,6982;
180111;1400;28,8062;
180111;1500;28,4558;
180111;1600;27,1387;
180111;1700;26,2051;
180111;1800;24,4464;
180111;1900;22,0876;
180111;2000;19,979;
180111;2100;18,9453;
180111;2200;18,2449;
180111;2300;17,5446;
180112;0000;16,7608;
180112;0100;15,8928;
180112;0200;15,5926;
180112;0300;15,409;
180112;0400;15,0505;
180112;0500;14,5253;
180112;0600;14,7252;
180112;0700;16,9667;
180112;0800;18,9236;
180112;0900;21,6316;
180112;1000;23,7395;
180112;1100;26,0726;
180112;1200;27,3638;
180112;1300;27,0301;
180112;1400;27,6797;
180112;1500;27,1294;
180112;1600;25,3957;
180112;1700;24,1537;
180112;1800;22,62;
180112;1900;20,3946;
180112;2000;19,0859;
180112;2100;18,3689;
180112;2200;17,5185;
180112;2300;16,9265;
180113;0000;16,4594;
180113;0100;16,2507;
180113;0200;15,7752;
180113;0300;15,5917;
180113;0400;14,8035;
180113;0500;14,4616;
180113;0600;14,8781;
180113;0700;16,1891;
180113;0800;18,2972;
180113;0900;20,3384;
180113;1000;22,1631;
180113;1100;24,0877;
180113;1200;24,9123;
180113;1300;25,2287;
180113;1400;25,5866;
180113;1500;25,6212;
180113;1600;25,5943;
180113;1700;25,5355;
180113;1800;24,2685;
180113;1900;22,6515;
180113;2000;20,9428;
180113;2100;19,7674;
180113;2200;19,1087;
180113;2300;18,3833;
180114;0000;17,6736;
180114;0100;16,9648;
180114;0200;16,1145;
180114;0300;15,6112;
180114;0400;14,9194;
180114;0500;14,4275;
180114;0600;15,0274;
180114;0700;18,0044;
180114;0800;19,854;
180114;0900;21,112;
180114;1000;22,795;
180114;1100;23,7529;
180114;1200;23,6109;
180114;1300;24,2689;
180114;1400;25,4935;
180114;1500;24,9265;
180114;1600;24,3928;
180114;1700;23,0007;
180114;1800;20,7171;
180114;1900;18,5083;
180114;2000;17,1319;
180114;2100;15,9866;
180114;2200;15,4364;
180114;2300;14,9529;
180115;0000;14,886;
180115;0100;14,7359;
180115;0200;14,9524;
180115;0300;14,9605;
180115;0400;14,702;
180115;0500;14,3601;
180115;0600;14,3349;
180115;0700;14,3515;
180115;0800;14,868;
180115;0900;16,0439;
180115;1000;17,5601;
180115;1100;19,3765;
180115;1200;22,0678;
180115;1300;23,7424;
180115;1400;23,5837;
180115;1500;24,0333;
180115;1600;24,8402;
180115;1700;24,1315;
180115;1800;21,4229;
180115;1900;19,1725;
180115;2000;17,3804;
180115;2100;15,6942;
180115;2200;14,769;
180115;2300;14,1189;
180116;0000;13,8021;
180116;0100;13,6018;
180116;0200;13,2849;
180116;0300;12,8181;
180116;0400;12,493;
180116;0500;12,0761;
180116;0600;12,2592;
180116;0700;13,1757;
180116;0800;15,9422;
180116;0900;19,159;
180116;1000;21,8337;
180116;1100;24,1;
180116;1200;25,6486;
180116;1300;26,8565;
180116;1400;28,3789;
180116;1500;28,2725;
180116;1600;27,4637;
180116;1700;25,5468;
180116;1800;23,638;
180116;1900;21,0793;
180116;2000;18,9123;
180116;2100;17,3369;
180116;2200;16,3699;
180116;2300;15,7764;
180117;0000;15,3013;
180117;0100;14,5011;
180117;0200;13,8926;
180117;0300;13,2424;
180117;0400;12,8338;
180117;0500;12,217;
180117;0600;13,6085;
180117;0700;18,5083;
180117;0800;20,8403;
180117;0900;23,2233;
180117;1000;25,3895;
180117;1100;27,2309;
180117;1200;28,6555;
180117;1300;30,0551;
180117;1400;30,688;
180117;1500;31,4127;
180117;1600;31,3623;
180117;1700;30,3704;
180117;1800;29,1033;
180117;1900;26,0779;
180117;2000;23,2693;
180117;2100;21,8272;
180117;2200;20,8851;
180117;2300;19,6182;
180118;0000;18,4761;
180118;0100;18,034;
180118;0200;16,9337;
180118;0300;16,1333;
180118;0400;15,2202;
180118;0500;14,9366;
180118;0600;15,8614;
180118;0700;20,8141;
180118;0800;23,1722;
180118;0900;26,0468;
180118;1000;28,1465;
180118;1100;30,1044;
180118;1200;31,0123;
180118;1300;32,2406;
180118;1400;32,7566;
180118;1500;33,3475;
180118;1600;32,4468;
180118;1700;30,8939;
180118;1800;28,6268;
180118;1900;25,8682;
180118;2000;23,4761;
180118;2100;22,084;
180118;2200;21,3171;
180118;2300;20,1583;
180119;0000;18,8569;
180119;0100;17,9982;
180119;0200;17,1395;
180119;0300;16,1808;
180119;0400;15,6777;
180119;0500;15,4608;
180119;0600;17,038;
180119;0700;20,5961;
180119;0800;22,8957;
180119;0900;26,0704;
180119;1000;27,6533;
180119;1100;28,7029;
180119;1200;29,0609;
180119;1300;29,5355;
180119;1400;29,6268;
180119;1500;29,0515;
180119;1600;28,4678;
180119;1700;27,7507;
180119;1800;26,4587;
180119;1900;24,25;
180119;2000;21,8986;
180119;2100;19,9315;
180119;2200;18,8062;
180119;2300;17,6308;
180120;0000;16,1971;
180120;0100;14,7942;
180120;0200;14,1107;
180120;0300;13,6939;
180120;0400;13,4103;
180120;0500;13,3185;
180120;0600;13,8183;
180120;0700;15,5432;
180120;0800;16,4026;
180120;0900;18,8022;
180120;1000;20,6268;
180120;1100;22,4432;
180120;1200;23,3594;
180120;1300;24,9257;
180120;1400;26,2087;
180120;1500;26,9167;
180120;1600;27,0402;
180120;1700;26,6398;
180120;1800;24,9729;
180120;1900;22,1725;
180120;2000;19,7804;
180120;2100;18,2384;
180120;2200;16,6964;
180120;2300;15,5105;
180121;0000;14,4603;
180121;0100;13,7935;
180121;0200;13,6766;
180121;0300;14,1598;
180121;0400;14,4763;
180121;0500;14,8094;
180121;0600;15,4676;
180121;0700;16,4515;
180121;0800;18,5678;
180121;0900;20,5757;
180121;1000;21,1671;
180121;1100;20,8182;
180121;1200;21,1486;
180121;1300;22,2148;
180121;1400;23,3645;
180121;1500;23,8475;
180121;1600;23,3554;
180121;1700;23,1218;
180121;1800;21,788;
180121;1900;19,1626;
180121;2000;17,329;
180121;2100;16,4703;
180121;2200;15,9266;
180121;2300;15,4681;
180122;0000;14,9595;
180122;0100;14,4928;
180122;0200;14,1009;
180122;0300;13,7757;
180122;0400;13,5589;
180122;0500;13,2671;
180122;0600;13,9085;
180122;0700;17,0167;
180122;0800;19,0569;
180122;0900;21,8399;
180122;1000;23,7645;
180122;1100;26,0475;
180122;1200;25,6638;
180122;1300;25,3551;
180122;1400;27,888;
180122;1500;28,6794;
180122;1600;28,4707;
180122;1700;27,8787;
180122;1800;26,2783;
180122;1900;23,4612;
180122;2000;20,3193;
180122;2100;18,0605;
180122;2200;16,6601;
180122;2300;15,8174;
180123;0000;15,1172;
180123;0100;14,3754;
180123;0200;13,9669;
180123;0300;13,3333;
180123;0400;12,8035;
180123;0500;12,5533;
180123;0600;12,6448;
180123;0700;13,9529;
180123;0800;16,1555;
180123;0900;17,4968;
180123;1000;20,1381;
180123;1100;22,2711;
180123;1200;24,3373;
180123;1300;25,5787;
180123;1400;27,07;
180123;1500;27,7362;
180123;1600;27,7359;
180123;1700;27,6605;
180123;1800;26,8685;
180123;1900;24,2848;
180123;2000;21,8094;
180123;2100;20,0424;
180123;2200;18,9004;
180123;2300;17,9333;
180124;0000;16,9319;
180124;0100;15,7616;
180124;0200;14,9698;
180124;0300;14,4779;
180124;0400;13,9944;
180124;0500;13,8192;
180124;0600;14,7857;
180124;0700;18,5544;
180124;0800;21,6373;
180124;0900;24,9704;
180124;1000;27,595;
180124;1100;28,0029;
180124;1200;28,8359;
180124;1300;29,9689;
180124;1400;30,3935;
180124;1500;30,7598;
180124;1600;29,8428;
180124;1700;28,6674;
180124;1800;27,0504;
180124;1900;24;
180124;2000;21,7569;
180124;2100;19,9982;
180124;2200;19,0229;
180124;2300;17,6808;
180125;0000;16,7304;
180125;0100;15,9108;
180125;0200;15,1273;
180125;0300;14,7439;
180125;0400;14,0103;
180125;0500;13,0185;
180125;0600;13,0016;
180125;0700;15,4348;
180125;0800;17,7859;
180125;0900;20,2439;
180125;1000;21,5018;
180125;1100;24,1682;
180125;1200;26,4761;
180125;1300;27,8257;
180125;1400;28,5504;
180125;1500;28,3917;
180125;1600;27,9652;
180125;1700;26,9815;
180125;1800;25,5394;
180125;1900;22,1475;
180125;2000;19,5804;
180125;2100;18,2633;
180125;2200;17,388;
180125;2300;16,7376;
180126;0000;15,3353;
180126;0100;14,4435;
180126;0200;13,7849;
180126;0300;12,3264;
180126;0400;11,4345;
180126;0500;10,9178;
180126;0600;11,0509;
180126;0700;13,809;
180126;0800;16,7928;
180126;0900;18,834;
180126;1000;21,7921;
180126;1100;24,425;
180126;1200;25,9486;
180126;1300;27,4232;
180126;1400;27,8062;
180126;1500;27,7785;
180126;1600;27,525;
180126;1700;26,4083;
180126;1800;24,3833;
180126;1900;21,3083;
180126;2000;18,8373;
180126;2100;17,4536;
180126;2200;16,5033;
180126;2300;16,1029;
180127;0000;15,7;
180127;0100;14,9261;
180127;0200;14,2009;
180127;0300;13,2507;
180127;0400;12,6755;
180127;0500;12,5337;
180127;0600;12,8419;
180127;0700;17,6417;
180127;0800;19,8417;
180127;0900;22,9;
180127;1000;24,9083;
180127;1100;26,8333;
180127;1200;28,375;
180127;1300;30,175;
180127;1400;30,9965;
180127;1500;31,3877;
180127;1600;31,979;
180127;1700;31,7917;
180127;1800;30,22;
180127;1900;27,5946;
180127;2000;24,8859;
180127;2100;23,1272;
180127;2200;21,7601;
180127;2300;20,3848;
180128;0000;18,7261;
180128;0100;18,5174;
180128;0200;17,0587;
180128;0300;16,0333;
180128;0400;16,4736;
180128;0500;15,0283;
180128;0600;15,5531;
180128;0700;21,4;
180128;0800;23,9;
180128;0900;26,2917;
180128;1000;29,8583;
180128;1100;30,8461;
180128;1200;32,058;
180128;1300;33,3917;
180128;1400;34,7816;
180128;1500;35,2083;
180128;1600;35,1417;
180128;1700;33,7167;
180128;1800;32,2417;
180128;1900;29,1182;
180128;2000;26,0344;
180128;2100;24,2507;
180128;2200;22,875;
180128;2300;21,875;
180129;0000;20,8917;
180129;0100;19,0083;
180129;0200;18,1083;
180129;0300;16,6083;
180129;0400;15,7444;
180129;0500;15,2942;
180129;0600;15,7441;
180129;0700;20,4833;
180129;0800;22,5417;
180129;0900;25,5091;
180129;1000;26,975;
180129;1100;28,3167;
180129;1200;29,0083;
180129;1300;29,875;
180129;1400;29,9167;
180129;1500;29,6598;
180129;1600;28,3844;
180129;1700;26,7674;
180129;1800;24,3421;
180129;1900;21,5417;
180129;2000;19,3486;
180129;2100;18,3315;
180129;2200;17,4812;
180129;2300;15,7029;
180130;0000;13,7277;
180130;0100;12,8608;
180130;0200;12,0441;
180130;0300;10,9105;
180130;0400;9,96031;
180130;0500;9,56013;
180130;0600;10,1683;
180130;0700;12,9348;
180130;0800;15,7513;
180130;0900;19,0439;
180130;1000;22,3685;
180130;1100;25,3098;
180130;1200;27,1594;
180130;1300;28,1007;
180130;1400;28,6254;
180130;1500;29,5667;
180130;1600;29,7402;
180130;1700;29,4065;
180130;1800;27,9979;
180130;1900;25,3808;
180130;2000;23,1887;
180130;2100;21,6134;
180130;2200;20,3797;
180130;2300;19,1626;
180131;0000;19,379;
180131;0100;18,6945;
180131;0200;17,7282;
180131;0300;16,4112;
180131;0400;16,2858;
180131;0500;15,3928;
180131;0600;15,8259;
180131;0700;20,2098;
180131;0800;23,6928;
180131;0900;25,7174;
180131;1000;27,9421;
180131;1100;30,0667;
180131;1200;31,4402;
180131;1300;32,7404;
180131;1400;33,2397;
180131;1500;33,2533;
180131;1600;32,9109;
180131;1700;31,6134;
180131;1800;29,8964;
180131;1900;26,8293;
180131;2000;24,229;
180131;2100;22,5953;
180131;2200;21,2532;
180131;2300;20,0112;
180201;0000;18,8942;
180201;0100;18,1021;
180201;0200;16,9185;
180201;0300;16,1847;
180201;0400;15,7672;
180201;0500;15,4086;
180201;0600;15,5835;
180201;0700;19,5167;
180201;0800;22,7487;
180201;0900;25,6899;
180201;1000;28,0645;
180201;1100;29,6642;
180201;1200;31,1638;
180201;1300;31,8801;
180201;1400;32,0762;
180201;1500;31,7961;
180201;1600;31,3207;
180201;1700;29,7704;
180201;1800;28,145;
180201;1900;25,4112;
180201;2000;22,9443;
180201;2100;21,5189;
180201;2200;20,5518;
180201;2300;19,3765;
180202;0000;18,4678;
180202;0100;17,5174;
180202;0200;16,2921;
180202;0300;15,275;
180202;0400;15,0368;
180202;0500;14,3533;
180202;0600;13,6864;
180202;0700;15,8446;
180202;0800;18,2555;
180202;0900;21,0551;
180202;1000;23,1381;
180202;1100;25,0627;
180202;1200;26,5457;
180202;1300;27,562;
180202;1400;28,4283;
180202;1500;28,9303;
180202;1600;28,7193;
180202;1700;27,9105;
180202;1800;26,3018;
180202;1900;23,2598;
180202;2000;20,5761;
180202;2100;19,334;
180202;2200;18,5837;
180202;2300;17,8833;
180203;0000;17,3736;
180203;0100;16,5732;
180203;0200;15,3198;
180203;0300;13,9946;
180203;0400;13,5444;
180203;0500;12,6775;
180203;0600;12,2941;
180203;0700;13,3855;
180203;0800;15,727;
180203;0900;19,3287;
180203;1000;22,5283;
180203;1100;24,9279;
180203;1200;26,2026;
180203;1300;27,4855;
180203;1400;28,2101;
180203;1500;28,6432;
180203;1600;28,2178;
180203;1700;27,584;
180203;1800;26,2004;
180203;1900;23,6333;
180203;2000;21,7986;
180203;2100;20,5898;
180203;2200;19,7312;
180203;2300;18,9058;
180204;0000;18,3387;
180204;0100;17,8718;
180204;0200;17,3547;
180204;0300;16,8543;
180204;0400;16,2457;
180204;0500;15,4435;
180204;0600;15,4766;
180204;0700;18,0362;
180204;0800;21,8609;
180204;0900;24,8189;
180204;1000;26,4351;
180204;1100;28,3932;
180204;1200;29,2511;
180204;1300;29,9674;
180204;1400;30,4421;
180204;1500;30,0417;
180204;1600;29,8569;
180204;1700;28,4232;
180204;1800;26,1812;
180204;1900;23,7308;
180204;2000;21,5221;
180204;2100;20,1134;
180204;2200;19,2797;
180204;2300;18,3293;
180205;0000;17,754;
180205;0100;16,9036;
180205;0200;16,1532;
180205;0300;15,7181;
180205;0400;15,2263;
180205;0500;14,9178;
180205;0600;14,6009;
180205;0700;15,309;
180205;0800;18,2761;
180205;0900;21,184;
180205;1000;25,0337;
180205;1100;27,4417;
180205;1200;28,4402;
180205;1300;28,9232;
180205;1400;28,8395;
180205;1500;27,7975;
180205;1600;26,5304;
180205;1700;24,3551;
180205;1800;23,3964;
180205;1900;22,7876;
180205;2000;21,6123;
180205;2100;20,0369;
180205;2200;19,7115;
180205;2300;19,6946;
180206;0000;18,9692;
180206;0100;17,9938;
180206;0200;17,2768;
180206;0300;15,809;
180206;0400;14,9922;
180206;0500;14,767;
180206;0600;14,1252;
180206;0700;14,6333;
180206;0800;17,1732;
180206;0900;19,2228;
180206;1000;22,7808;
180206;1100;24,3141;
180206;1200;25,6472;
180206;1300;27,2884;
180206;1400;28,8381;
180206;1500;28,7961;
180206;1600;28,5123;
180206;1700;27,6954;
180206;1800;26,12;
180206;1900;23,6862;
180206;2000;22,1193;
180206;2100;20,9022;
180206;2200;20,1185;
180206;2300;19,3265;
180207;0000;18,6094;
180207;0100;18,0007;
180207;0200;17,3337;
180207;0300;16,6583;
180207;0400;15,7701;
180207;0500;15,4783;
180207;0600;15,2948;
180207;0700;19,0226;
