FECHA (YYMMDD);HORA (HHMM);;
180111;1300;212,235;
180111;1400;216,381;
180111;1500;222,645;
180111;1600;220,845;
180111;1700;221,837;
180111;1800;218,572;
180111;1900;214,146;
180111;2000;216,285;
180111;2100;222,809;
180111;2200;230,274;
180111;2300;230,941;
180112;0000;232,453;
180112;0100;226,854;
180112;0200;230,623;
180112;0300;247,967;
180112;0400;228,338;
180112;0500;240,708;
180112;0600;247,398;
180112;0700;239,503;
180112;0800;233,213;
180112;0900;227,058;
180112;1000;232,804;
180112;1100;216,183;
180112;1200;222,544;
180112;1300;221,598;
180112;1400;221,067;
180112;1500;222,386;
180112;1600;224,95;
180112;1700;215,086;
180112;1800;215,019;
180112;1900;204,888;
180112;2000;211,069;
180112;2100;209,102;
180112;2200;198,508;
180112;2300;236,618;
180113;0000;224,536;
180113;0100;254,009;
180113;0200;241,468;
180113;0300;242,489;
180113;0400;244,87;
180113;0500;256,572;
180113;0600;247,51;
180113;0700;237,231;
180113;0800;216,767;
180113;0900;235,038;
180113;1000;234,838;
180113;1100;201,587;
180113;1200;221,487;
180113;1300;224,372;
180113;1400;225,884;
180113;1500;221,168;
180113;1600;216,717;
180113;1700;216,892;
180113;1800;216,288;
180113;1900;213,728;
180113;2000;219,081;
180113;2100;218,324;
180113;2200;224,409;
180113;2300;228,4;
180114;0000;244,192;
180114;0100;234,005;
180114;0200;258,53;
180114;0300;257,04;
180114;0400;234,783;
180114;0500;233,432;
180114;0600;239,058;
180114;0700;233,258;
180114;0800;237,612;
180114;0900;229,337;
180114;1000;213,64;
180114;1100;225,006;
180114;1200;212,267;
180114;1300;209,835;
180114;1400;204,214;
180114;1500;211,072;
180114;1600;224,101;
180114;1700;209,2;
180114;1800;201,649;
180114;1900;224,518;
180114;2000;217,419;
180114;2100;215,3;
180114;2200;200,404;
180114;2300;213,682;
180115;0000;216,178;
180115;0100;209,326;
180115;0200;229,612;
180115;0300;227,128;
180115;0400;215,19;
180115;0500;210,315;
180115;0600;221,415;
180115;0700;209,494;
180115;0800;235,621;
180115;0900;222,792;
180115;1000;221,86;
180115;1100;225,342;
180115;1200;205,177;
180115;1300;232,172;
180115;1400;231,529;
180115;1500;226,147;
180115;1600;217,289;
180115;1700;214,745;
180115;1800;219,185;
180115;1900;221,814;
180115;2000;217,043;
180115;2100;213,994;
180115;2200;216,953;
180115;2300;221,952;
180116;0000;222,274;
180116;0100;228,305;
180116;0200;239,944;
180116;0300;233,074;
180116;0400;231,271;
180116;0500;234,833;
180116;0600;236,823;
180116;0700;233,6;
180116;0800;243,754;
180116;0900;196,313;
180116;1000;224,95;
180116;1100;224,948;
180116;1200;215,169;
180116;1300;213,141;
180116;1400;215,749;
180116;1500;223,981;
180116;1600;223,905;
180116;1700;222,732;
180116;1800;219,486;
180116;1900;206,898;
180116;2000;222,455;
180116;2100;207,02;
180116;2200;197,011;
180116;2300;209,663;
180117;0000;236,367;
180117;0100;256,172;
180117;0200;255,672;
180117;0300;210,401;
180117;0400;232,252;
180117;0500;237,53;
180117;0600;201,704;
180117;0700;70,7867;
180117;0800;259,621;
180117;0900;305,115;
180117;1000;248,335;
180117;1100;207,467;
180117;1200;196,691;
180117;1300;223,505;
180117;1400;204,325;
180117;1500;213,955;
180117;1600;211,538;
180117;1700;222,264;
180117;1800;218,11;
180117;1900;211,007;
180117;2000;203,431;
180117;2100;198,633;
180117;2200;206,426;
180117;2300;144,141;
180118;0000;259,487;
180118;0100;278,686;
180118;0200;259,415;
180118;0300;235,959;
180118;0400;207,815;
180118;0500;260,433;
180118;0600;236,443;
180118;0700;330,716;
180118;0800;324,564;
180118;0900;269,938;
180118;1000;137,22;
180118;1100;220,339;
180118;1200;211,842;
180118;1300;207,177;
180118;1400;213,252;
180118;1500;228,046;
180118;1600;221,594;
180118;1700;215,699;
180118;1800;216,262;
180118;1900;203,165;
180118;2000;214,336;
180118;2100;200,394;
180118;2200;175,555;
180118;2300;238,208;
180119;0000;211,376;
180119;0100;269,91;
180119;0200;246,184;
180119;0300;243,429;
180119;0400;286,515;
180119;0500;256,6;
180119;0600;217,745;
180119;0700;203,298;
180119;0800;226,841;
180119;0900;217,215;
180119;1000;213,693;
180119;1100;209,693;
180119;1200;222,685;
180119;1300;217,874;
180119;1400;223,415;
180119;1500;217,457;
180119;1600;212,495;
180119;1700;217,434;
180119;1800;210,69;
180119;1900;217,033;
180119;2000;223,2;
180119;2100;220,598;
180119;2200;227,764;
180119;2300;235,228;
180120;0000;215,581;
180120;0100;223,312;
180120;0200;237,366;
180120;0300;246,852;
180120;0400;249,852;
180120;0500;246,729;
180120;0600;235,74;
180120;0700;206,979;
180120;0800;236,157;
180120;0900;217,972;
180120;1000;221,052;
180120;1100;210,17;
180120;1200;210,778;
180120;1300;206,314;
180120;1400;207,006;
180120;1500;208,593;
180120;1600;203,563;
180120;1700;217,665;
180120;1800;220,259;
180120;1900;225,165;
180120;2000;214,786;
180120;2100;225,068;
180120;2200;221,51;
180120;2300;230,124;
180121;0000;228,059;
180121;0100;221,174;
180121;0200;216,57;
180121;0300;227,06;
180121;0400;225,718;
180121;0500;213,61;
180121;0600;275,636;
180121;0700;304,599;
180121;0800;238,008;
180121;0900;231,465;
180121;1000;220,852;
180121;1100;216,042;
180121;1200;213,393;
180121;1300;211,571;
180121;1400;216,359;
180121;1500;215,645;
180121;1600;230,196;
180121;1700;222,034;
180121;1800;223,447;
180121;1900;223,493;
180121;2000;222,788;
180121;2100;219,114;
180121;2200;228,724;
180121;2300;234,893;
180122;0000;236,808;
180122;0100;248,418;
180122;0200;242,449;
180122;0300;236,946;
180122;0400;254,313;
180122;0500;245,729;
180122;0600;211,51;
180122;0700;239,56;
180122;0800;258,69;
180122;0900;227,888;
180122;1000;213,437;
180122;1100;199,744;
180122;1200;210,788;
180122;1300;213,215;
180122;1400;216,385;
180122;1500;217,779;
180122;1600;216,333;
180122;1700;210,107;
180122;1800;210,325;
180122;1900;215,357;
180122;2000;202,367;
180122;2100;222,49;
180122;2200;222,569;
180122;2300;230,793;
180123;0000;238,228;
180123;0100;244,406;
180123;0200;254,218;
180123;0300;230,412;
180123;0400;235,355;
180123;0500;238,89;
180123;0600;224,509;
180123;0700;226,3;
180123;0800;242,275;
180123;0900;240,401;
180123;1000;224,965;
180123;1100;216,024;
180123;1200;221,038;
180123;1300;210,994;
180123;1400;212,875;
180123;1500;207,611;
180123;1600;206,132;
180123;1700;213,654;
180123;1800;224,561;
180123;1900;230,211;
180123;2000;220,362;
180123;2100;221,898;
180123;2200;231,66;
180123;2300;234,347;
180124;0000;231,778;
180124;0100;222,775;
180124;0200;209,405;
180124;0300;227,632;
180124;0400;243,358;
180124;0500;262,027;
180124;0600;215,984;
180124;0700;249,456;
180124;0800;237,293;
180124;0900;208,861;
180124;1000;209,078;
180124;1100;221,412;
180124;1200;209,699;
180124;1300;204,48;
180124;1400;215,488;
180124;1500;211,051;
180124;1600;209,225;
180124;1700;212,487;
180124;1800;218,887;
180124;1900;218,893;
180124;2000;196,981;
180124;2100;215,203;
180124;2200;213,357;
180124;2300;228,744;
180125;0000;233,1;
180125;0100;225,066;
180125;0200;233,971;
180125;0300;228,546;
180125;0400;240,995;
180125;0500;246,602;
180125;0600;251,696;
180125;0700;238,539;
180125;0800;239,338;
180125;0900;239,848;
180125;1000;226,738;
180125;1100;197,559;
180125;1200;216,94;
180125;1300;224,205;
180125;1400;206,007;
180125;1500;213,554;
180125;1600;219,949;
180125;1700;221,818;
180125;1800;218,994;
180125;1900;214,229;
180125;2000;207,276;
180125;2100;201,786;
180125;2200;208,405;
180125;2300;210,762;
180126;0000;234,112;
180126;0100;228,18;
180126;0200;242,889;
180126;0300;256,581;
180126;0400;253,237;
180126;0500;236,858;
180126;0600;242,459;
180126;0700;227;
180126;0800;230,632;
180126;0900;244,736;
180126;1000;207,703;
180126;1100;225,354;
180126;1200;220,932;
180126;1300;218,937;
180126;1400;217,98;
180126;1500;218,832;
180126;1600;222,426;
180126;1700;225,775;
180126;1800;212,019;
180126;1900;214,25;
180126;2000;210,119;
180126;2100;214,438;
180126;2200;208,043;
180126;2300;210,508;
180127;0000;282,137;
180127;0100;245,267;
180127;0200;252,921;
180127;0300;239,837;
180127;0400;241,266;
180127;0500;227,795;
180127;0600;333,824;
180127;0700;202,498;
180127;0800;245,921;
180127;0900;3,28217;
180127;1000;246,31;
180127;1100;211,223;
180127;1200;206,422;
180127;1300;218,393;
180127;1400;219,932;
180127;1500;213,66;
180127;1600;223,17;
180127;1700;212,012;
180127;1800;223,94;
180127;1900;219,188;
180127;2000;216,245;
180127;2100;246,103;
180127;2200;219,375;
180127;2300;227,793;
180128;0000;343,984;
180128;0100;252,455;
180128;0200;308,837;
180128;0300;89,4124;
180128;0400;272,102;
180128;0500;150,141;
180128;0600;132,137;
180128;0700;132,008;
180128;0800;82,6338;
180128;0900;96,6042;
180128;1000;45,0068;
180128;1100;216,767;
180128;1200;196,883;
180128;1300;214,263;
180128;1400;223,811;
180128;1500;217,543;
180128;1600;212,744;
180128;1700;223,603;
180128;1800;225,686;
180128;1900;206,917;
180128;2000;196,572;
180128;2100;202,95;
180128;2200;211,257;
180128;2300;224,236;
180129;0000;254,203;
180129;0100;320,718;
180129;0200;255,614;
180129;0300;239,448;
180129;0400;214,18;
180129;0500;226,048;
180129;0600;209,378;
180129;0700;233,749;
180129;0800;254,109;
180129;0900;238,465;
180129;1000;212,822;
180129;1100;220,916;
180129;1200;221,191;
180129;1300;223,985;
180129;1400;222,959;
180129;1500;223,067;
180129;1600;221,588;
180129;1700;219,191;
180129;1800;213,691;
180129;1900;203,573;
180129;2000;200,292;
180129;2100;180,691;
180129;2200;204,719;
180129;2300;229,814;
180130;0000;226,942;
180130;0100;227,287;
180130;0200;235,889;
180130;0300;232,04;
180130;0400;238,124;
180130;0500;237,681;
180130;0600;239,185;
180130;0700;231,296;
180130;0800;190,911;
180130;0900;226,599;
180130;1000;349,67;
180130;1100;229,346;
180130;1200;200,636;
180130;1300;211,388;
180130;1400;213,802;
180130;1500;214,27;
180130;1600;215,502;
180130;1700;213,113;
180130;1800;226,315;
180130;1900;217,781;
180130;2000;218,039;
180130;2100;226,34;
180130;2200;245,352;
180130;2300;346,27;
180131;0000;305,185;
180131;0100;298,375;
180131;0200;296,374;
180131;0300;286,602;
180131;0400;250,589;
180131;0500;169,289;
180131;0600;183,612;
180131;0700;220,27;
180131;0800;10,6171;
180131;0900;233,513;
180131;1000;247,135;
180131;1100;231,995;
180131;1200;216,416;
180131;1300;213,279;
180131;1400;221,024;
180131;1500;217,596;
180131;1600;214,807;
180131;1700;219,161;
180131;1800;223,152;
180131;1900;211,591;
180131;2000;200,437;
180131;2100;196,935;
180131;2200;193,83;
180131;2300;250,135;
180201;0000;271,864;
180201;0100;258,911;
180201;0200;232,709;
180201;0300;226,003;
180201;0400;248,678;
180201;0500;234,195;
180201;0600;225,569;
180201;0700;230,2;
180201;0800;259,963;
180201;0900;228,428;
180201;1000;218,127;
180201;1100;218,251;
180201;1200;229,388;
180201;1300;215,297;
180201;1400;216,271;
180201;1500;225,288;
180201;1600;221,682;
180201;1700;222,225;
180201;1800;220,589;
180201;1900;219,849;
180201;2000;209,797;
180201;2100;207,233;
180201;2200;217,761;
180201;2300;238,582;
180202;0000;251,247;
180202;0100;232,278;
180202;0200;235,564;
180202;0300;238,978;
180202;0400;245,538;
180202;0500;235,308;
180202;0600;232,275;
180202;0700;236,882;
180202;0800;227,451;
180202;0900;230,981;
180202;1000;231,649;
180202;1100;233,416;
180202;1200;224,822;
180202;1300;213,806;
180202;1400;216,552;
180202;1500;212,419;
180202;1600;216,939;
180202;1700;222,41;
180202;1800;223,8;
180202;1900;215,344;
180202;2000;208,512;
180202;2100;218,699;
180202;2200;219,707;
180202;2300;231,003;
180203;0000;240,782;
180203;0100;248,482;
180203;0200;244,164;
180203;0300;235,177;
180203;0400;234,723;
180203;0500;228,991;
180203;0600;234,191;
180203;0700;221,385;
180203;0800;230,559;
180203;0900;241,621;
180203;1000;218,238;
180203;1100;218,038;
180203;1200;213,085;
180203;1300;224,595;
180203;1400;207,968;
180203;1500;217,114;
180203;1600;221,221;
180203;1700;217,31;
180203;1800;220,796;
180203;1900;220,248;
180203;2000;214,385;
180203;2100;217,314;
180203;2200;225,491;
180203;2300;222,733;
180204;0000;228,127;
180204;0100;219,611;
180204;0200;232,819;
180204;0300;246,442;
180204;0400;239,261;
180204;0500;233,782;
180204;0600;238,021;
