FECHA (YYMMDD);HORA (HHMM);;
180110;1600;4,5982;
180110;1700;4,21412;
180110;1800;3,33988;
180110;1900;2,59772;
180110;2000;2,39419;
180110;2100;2,59631;
180110;2200;1,79421;
180110;2300;1,54394;
180111;0000;1,95821;
180111;0100;1,36371;
180111;0200;1,05883;
180111;0300;1,05271;
180111;0400;1,40456;
180111;0500;1,07312;
180111;0600;0,757824;
180111;0700;1,61341;
180111;0800;1,50457;
180111;0900;1,48744;
180111;1000;1,67662;
180111;1100;2,397;
180111;1200;3,77526;
180111;1300;3,90379;
180111;1400;4,08116;
180111;1500;4,72124;
180111;1600;4,3167;
180111;1700;4,07205;
180111;1800;3,36874;
180111;1900;3,40852;
180111;2000;2,35632;
180111;2100;2,02939;
180111;2200;1,89256;
180111;2300;1,71074;
180112;0000;1,6191;
180112;0100;1,25639;
180112;0200;0,919621;
180112;0300;0,60999;
180112;0400;1,06853;
180112;0500;1,38413;
180112;0600;1,53483;
180112;0700;1,82837;
180112;0800;2,21429;
180112;0900;2,119;
180112;1000;2,66772;
180112;1100;2,72047;
180112;1200;3,38888;
180112;1300;3,82714;
180112;1400;3,99988;
180112;1500;4,01071;
180112;1600;3,4319;
180112;1700;2,84742;
180112;1800;3,0288;
180112;1900;2,72654;
180112;2000;2,51501;
180112;2100;2,46843;
180112;2200;2,18625;
180112;2300;1,48896;
180113;0000;1,54714;
180113;0100;1,17037;
180113;0200;1,35684;
180113;0300;1,92539;
180113;0400;1,47701;
180113;0500;1,08401;
180113;0600;0,990919;
180113;0700;1,1582;
180113;0800;1,73029;
180113;0900;1,6917;
180113;1000;1,32661;
180113;1100;1,28098;
180113;1200;2,19737;
180113;1300;3,08806;
180113;1400;3,01016;
180113;1500;3,30318;
180113;1600;2,99308;
180113;1700;2,83968;
180113;1800;2,33003;
180113;1900;2,06215;
180113;2000;2,19417;
180113;2100;1,93422;
180113;2200;1,42411;
180113;2300;1,3116;
180114;0000;1,37345;
180114;0100;1,19643;
180114;0200;0,984144;
180114;0300;1,17361;
180114;0400;0,982294;
180114;0500;0,966437;
180114;0600;0,961558;
180114;0700;1,50423;
180114;0800;1,9726;
180114;0900;2,25746;
180114;1000;2,86544;
180114;1100;3,8189;
180114;1200;4,39224;
180114;1300;4,3173;
180114;1400;4,60706;
180114;1500;3,66316;
180114;1600;4,00823;
180114;1700;3,96583;
180114;1800;3,34988;
180114;1900;2,83306;
180114;2000;2,383;
180114;2100;2,23876;
180114;2200;1,73838;
180114;2300;1,74142;
180115;0000;1,59725;
180115;0100;1,59039;
180115;0200;1,60835;
180115;0300;1,9261;
180115;0400;2,01636;
180115;0500;1,68872;
180115;0600;1,6307;
180115;0700;1,70089;
180115;0800;1,32417;
180115;0900;1,61825;
180115;1000;1,8808;
180115;1100;1,61801;
180115;1200;1,48625;
180115;1300;2,17123;
180115;1400;2,88165;
180115;1500;2,32553;
180115;1600;2,84819;
180115;1700;3,73945;
180115;1800;3,07444;
180115;1900;2,95065;
180115;2000;2,42177;
180115;2100;2,34042;
180115;2200;1,87904;
180115;2300;2,029;
180116;0000;1,55198;
180116;0100;1,36555;
180116;0200;1,26212;
180116;0300;1,33505;
180116;0400;1,03008;
180116;0500;1,11201;
180116;0600;1,31318;
180116;0700;1,23414;
180116;0800;0,940355;
180116;0900;0,728543;
180116;1000;1,10334;
180116;1100;2,07697;
180116;1200;2,83986;
180116;1300;3,1666;
180116;1400;3,31722;
180116;1500;3,49653;
180116;1600;3,93105;
180116;1700;4,30238;
180116;1800;4,28316;
180116;1900;2,87616;
180116;2000;1,89331;
180116;2100;2,67639;
180116;2200;2,0555;
180116;2300;1,54953;
180117;0000;1,13487;
180117;0100;0,573426;
180117;0200;0,764749;
180117;0300;0,613617;
180117;0400;0,674521;
180117;0500;0,193264;
180117;0600;0,533252;
180117;0700;0,246032;
180117;0800;0,495921;
180117;0900;0,474218;
180117;1000;0,927395;
180117;1100;1,8574;
180117;1200;2,39831;
180117;1300;2,62988;
180117;1400;3,16398;
180117;1500;3,01997;
180117;1600;2,89122;
180117;1700;3,22866;
180117;1800;3,10754;
180117;1900;2,72837;
180117;2000;1,9715;
180117;2100;1,27904;
180117;2200;1,4481;
180117;2300;1,31543;
180118;0000;1,05135;
180118;0100;0,303148;
180118;0200;0,156652;
180118;0300;0,31732;
180118;0400;0,196034;
180118;0500;0,327813;
180118;0600;0,430808;
180118;0700;0,810419;
180118;0800;0,641953;
180118;0900;0,71439;
180118;1000;1,21349;
180118;1100;2,00412;
180118;1200;2,78054;
180118;1300;2,7378;
180118;1400;2,96102;
180118;1500;3,34027;
180118;1600;3,37683;
180118;1700;3,46865;
180118;1800;3,4139;
180118;1900;2,461;
180118;2000;1,75923;
180118;2100;2,01493;
180118;2200;1,74473;
180118;2300;0,778297;
180119;0000;0,451188;
180119;0100;1,39219;
180119;0200;1,51863;
180119;0300;0,893028;
180119;0400;0,219328;
180119;0500;0,643546;
180119;0600;0,475389;
180119;0700;0,71883;
180119;0800;1,51313;
180119;0900;1,38035;
180119;1000;2,36717;
180119;1100;3,6145;
180119;1200;4,08772;
180119;1300;4,36962;
180119;1400;4,17371;
180119;1500;3,89326;
180119;1600;3,76588;
180119;1700;3,64798;
180119;1800;3,62788;
180119;1900;2,96647;
180119;2000;2,55006;
180119;2100;2,49086;
180119;2200;2,40645;
180119;2300;1,56774;
180120;0000;2,10198;
180120;0100;1,70505;
180120;0200;1,78435;
180120;0300;1,48459;
