FECHA (YYMMDD);HORA (HHMM);;
180110;1600;5,56558;
180110;1700;4,80629;
180110;1800;4,13471;
180110;1900;3,01953;
180110;2000;2,1192;
180110;2100;1,57059;
180110;2200;1,18073;
180110;2300;0,973369;
180111;0000;0,974036;
180111;0100;0,605437;
180111;0200;0,11787;
180111;0300;0,229362;
180111;0400;0,252211;
180111;0500;0,769201;
180111;0600;0,2985;
180111;0700;0,955052;
180111;0800;0,641954;
180111;0900;1,34745;
180111;1000;1,99096;
180111;1100;2,96707;
180111;1200;3,43633;
180111;1300;4,80228;
180111;1400;4,77796;
180111;1500;5,11969;
180111;1600;5,07441;
180111;1700;4,58104;
180111;1800;3,51475;
180111;1900;2,66417;
180111;2000;1,51191;
180111;2100;0,750871;
180111;2200;1,36397;
180111;2300;1,01131;
180112;0000;0,661;
180112;0100;0,824238;
180112;0200;0,632727;
180112;0300;0,359329;
180112;0400;0,245378;
180112;0500;0,64895;
180112;0600;0,791802;
180112;0700;0,968711;
180112;0800;1,61314;
180112;0900;1,73591;
180112;1000;2,48205;
180112;1100;2,71143;
180112;1200;3,84363;
180112;1300;4,30921;
180112;1400;4,10554;
180112;1500;4,61037;
180112;1600;4,45356;
180112;1700;3,67331;
180112;1800;3,62794;
180112;1900;2,74002;
180112;2000;1,45748;
180112;2100;1,82659;
180112;2200;1,34951;
180112;2300;1,44148;
180113;0000;1,17019;
180113;0100;0,636236;
180113;0200;0,586345;
180113;0300;0,891538;
180113;0400;1,09364;
180113;0500;0,530657;
180113;0600;0,510255;
180113;0700;1,01445;
180113;0800;0,850775;
180113;0900;1,19433;
180113;1000;1,97039;
180113;1100;1,68572;
180113;1200;1,9398;
180113;1300;2,55163;
180113;1400;3,44219;
180113;1500;3,58482;
180113;1600;3,09388;
180113;1700;2,85417;
180113;1800;3,24626;
180113;1900;3,02505;
180113;2000;1,7825;
180113;2100;1,12464;
180113;2200;0,495994;
180113;2300;0,836712;
180114;0000;0,779241;
180114;0100;0,708822;
180114;0200;0,470137;
180114;0300;0,316153;
180114;0400;0,0870445;
180114;0500;0,325558;
180114;0600;0,745743;
180114;0700;0,572774;
180114;0800;1,04188;
180114;0900;1,75121;
180114;1000;2,31032;
180114;1100;3,41059;
180114;1200;4,83776;
180114;1300;4,35736;
180114;1400;4,4379;
180114;1500;4,89836;
180114;1600;5,20691;
180114;1700;4,53905;
180114;1800;3,53482;
180114;1900;2,78556;
180114;2000;2,88225;
180114;2100;2,65216;
180114;2200;1,48635;
180114;2300;1,93921;
180115;0000;1,55203;
180115;0100;1,78764;
180115;0200;1,39849;
180115;0300;1,57937;
180115;0400;2,33318;
180115;0500;1,6107;
180115;0600;2,00222;
180115;0700;1,58938;
180115;0800;0,916568;
180115;0900;1,70939;
180115;1000;2,01556;
180115;1100;1,40695;
180115;1200;1,33659;
180115;1300;2,12875;
180115;1400;2,24392;
180115;1500;3,00464;
180115;1600;3,0154;
180115;1700;4,22572;
180115;1800;4,18811;
180115;1900;3,35492;
180115;2000;2,58625;
180115;2100;1,47639;
180115;2200;0,921066;
180115;2300;0,982148;
180116;0000;0,928859;
180116;0100;1,3988;
180116;0200;1,14583;
180116;0300;0,7369;
180116;0400;0,664327;
180116;0500;0,679275;
180116;0600;0,591619;
180116;0700;0,238932;
180116;0800;0,826053;
180116;0900;0,768284;
180116;1000;1,85569;
180116;1100;2,14541;
180116;1200;2,53082;
180116;1300;3,30322;
180116;1400;3,99936;
180116;1500;4,49238;
180116;1600;5,183;
180116;1700;5,76156;
180116;1800;4,49659;
180116;1900;2,28965;
180116;2000;2,57221;
180116;2100;2,26818;
180116;2200;1,43245;
180116;2300;0,47641;
180117;0000;0,704995;
180117;0100;0,416332;
180117;0200;0,624656;
180117;0300;0,818997;
180117;0400;0,630359;
180117;0500;0,526235;
180117;0600;0,475382;
180117;0700;0,215858;
180117;0800;1,01141;
180117;0900;1,22511;
180117;1000;1,88673;
180117;1100;2,09087;
180117;1200;2,60953;
180117;1300;3,15225;
180117;1400;3,67487;
180117;1500;3,84235;
180117;1600;4,01255;
180117;1700;4,21619;
180117;1800;4,70497;
180117;1900;3,10124;
180117;2000;1,83257;
180117;2100;1,36297;
180117;2200;0,296393;
180117;2300;0,660389;
180118;0000;0,653547;
180118;0100;1,19016;
180118;0200;0,845016;
180118;0300;0,781574;
180118;0400;0,996774;
180118;0500;1,2114;
180118;0600;0,658426;
180118;0700;1,08063;
180118;0800;0,550163;
180118;0900;0,798278;
180118;1000;2,1023;
180118;1100;2,15753;
180118;1200;3,1047;
180118;1300;3,15101;
180118;1400;3,69174;
180118;1500;3,90646;
180118;1600;5,06186;
180118;1700;5,5323;
180118;1800;4,32434;
180118;1900;2,3281;
180118;2000;1,29315;
180118;2100;1,58199;
180118;2200;1,00103;
180118;2300;0,703075;
180119;0000;0,635653;
180119;0100;1,51631;
180119;0200;1,2149;
180119;0300;0,690324;
180119;0400;0,428678;
180119;0500;0,89508;
180119;0600;0,925704;
180119;0700;0,543621;
180119;0800;0,460837;
180119;0900;1,53839;
180119;1000;1,55351;
180119;1100;2,8612;
180119;1200;3,65068;
180119;1300;4,72958;
180119;1400;4,80939;
180119;1500;4,85544;
180119;1600;4,48665;
180119;1700;3,8746;
180119;1800;3,84657;
180119;1900;2,95812;
180119;2000;2,32954;
180119;2100;1,3685;
180119;2200;1,26001;
180119;2300;1,52566;
180120;0000;1,50222;
180120;0100;1,08908;
180120;0200;0,979971;
180120;0300;0,636504;
180120;0400;0,470375;
180120;0500;0,460288;
180120;0600;0,857346;
180120;0700;1,22855;
180120;0800;2,68775;
180120;0900;3,16203;
180120;1000;3,0281;
180120;1100;3,13829;
180120;1200;3,25369;
180120;1300;3,81992;
180120;1400;3,84635;
180120;1500;4,04134;
180120;1600;4,3232;
180120;1700;3,78434;
180120;1800;3,6337;
180120;1900;2,79789;
180120;2000;1,57966;
180120;2100;1,97038;
180120;2200;2,19451;
180120;2300;1,68225;
180121;0000;1,84221;
180121;0100;1,20285;
180121;0200;1,41926;
180121;0300;1,20519;
180121;0400;0,999238;
180121;0500;0,967368;
180121;0600;0,691371;
180121;0700;0,321167;
180121;0800;0,721621;
180121;0900;1,38142;
180121;1000;2,38145;
180121;1100;4,34213;
180121;1200;4,7078;
180121;1300;4,35498;
180121;1400;4,29597;
180121;1500;4,00944;
180121;1600;4,31358;
180121;1700;4,13322;
180121;1800;4,00514;
180121;1900;3,3964;
180121;2000;1,90166;
180121;2100;1,26553;
