FECHA (YYMMDD);HORA (HHMM);;
180111;1200;255,758;
180111;1300;270,666;
180111;1400;278,517;
180111;1500;271,84;
180111;1600;273,69;
180111;1700;277,519;
180111;1800;270,903;
180111;1900;281,263;
180111;2000;300,236;
180111;2100;299,582;
180111;2200;259,186;
180111;2300;269,593;
180112;0000;294,849;
180112;0100;279,342;
180112;0200;275,451;
180112;0300;342,502;
180112;0400;252,117;
180112;0500;208,651;
180112;0600;196,423;
180112;0700;270,424;
180112;0800;273,102;
180112;0900;266,862;
180112;1000;267,282;
180112;1100;263,65;
180112;1200;266,818;
180112;1300;274,447;
180112;1400;271,588;
180112;1500;272,265;
180112;1600;268,745;
180112;1700;276,429;
180112;1800;275,333;
180112;1900;283,673;
180112;2000;266,108;
180112;2100;269,809;
180112;2200;257,982;
180112;2300;287,171;
180113;0000;315,268;
180113;0100;227,997;
180113;0200;218,949;
180113;0300;220,36;
180113;0400;228,867;
180113;0500;264,106;
180113;0600;286,594;
180113;0700;280,78;
180113;0800;257,001;
180113;0900;278,259;
180113;1000;267,325;
180113;1100;275,384;
180113;1200;267,716;
180113;1300;272,054;
180113;1400;272,592;
180113;1500;269,591;
180113;1600;266,041;
180113;1700;276,589;
180113;1800;269,745;
180113;1900;272,397;
180113;2000;260,793;
180113;2100;274,363;
180113;2200;282,338;
180113;2300;260,522;
180114;0000;251,948;
180114;0100;295,681;
180114;0200;349,678;
180114;0300;298,161;
180114;0400;235,072;
180114;0500;112,058;
180114;0600;67,4347;
180114;0700;334,864;
180114;0800;295,114;
180114;0900;279,377;
180114;1000;269,897;
180114;1100;274,54;
180114;1200;272,369;
180114;1300;266,923;
180114;1400;269,403;
180114;1500;270,508;
180114;1600;270,633;
180114;1700;274,045;
180114;1800;279,758;
180114;1900;279,428;
180114;2000;276,73;
180114;2100;268,722;
180114;2200;269,775;
180114;2300;267,797;
180115;0000;255,063;
180115;0100;257,074;
180115;0200;240,442;
180115;0300;262,146;
180115;0400;258,458;
180115;0500;248,068;
180115;0600;266,706;
180115;0700;245,537;
180115;0800;264,516;
180115;0900;270,677;
180115;1000;268,592;
180115;1100;282,87;
180115;1200;256,706;
180115;1300;290,136;
180115;1400;271,228;
180115;1500;275,699;
180115;1600;277,478;
180115;1700;282,556;
180115;1800;269,848;
180115;1900;267,5;
180115;2000;274,507;
180115;2100;293,089;
180115;2200;282,588;
180115;2300;307,856;
180116;0000;302,403;
180116;0100;253,509;
180116;0200;239,921;
180116;0300;252,008;
180116;0400;273,342;
180116;0500;245,301;
180116;0600;232,769;
180116;0700;300,973;
180116;0800;338,623;
180116;0900;312,074;
180116;1000;276,621;
180116;1100;268,168;
180116;1200;277,859;
180116;1300;284,417;
180116;1400;267,386;
180116;1500;270,642;
180116;1600;272,267;
180116;1700;272,394;
180116;1800;270,338;
180116;1900;268,185;
180116;2000;265,001;
180116;2100;270,868;
180116;2200;270,094;
180116;2300;261,277;
180117;0000;302,184;
180117;0100;218,583;
180117;0200;201,778;
180117;0300;184,872;
180117;0400;152,756;
180117;0500;136,6;
180117;0600;179,037;
180117;0700;54,0591;
180117;0800;353,818;
180117;0900;322,349;
180117;1000;275,145;
180117;1100;272,827;
180117;1200;273,695;
180117;1300;267,965;
180117;1400;263,709;
180117;1500;257,778;
180117;1600;261,052;
180117;1700;276,526;
180117;1800;272,697;
180117;1900;271,493;
180117;2000;284,903;
180117;2100;293,978;
180117;2200;353,656;
180117;2300;92,046;
180118;0000;153,441;
180118;0100;106,297;
180118;0200;122,503;
180118;0300;108,59;
180118;0400;105,412;
180118;0500;116,001;
180118;0600;116,984;
180118;0700;85,9052;
180118;0800;317,421;
180118;0900;301,361;
180118;1000;264,937;
180118;1100;259,589;
180118;1200;254,703;
180118;1300;267,195;
180118;1400;263,676;
180118;1500;265,307;
180118;1600;273,5;
180118;1700;273,809;
180118;1800;269,464;
180118;1900;266,607;
180118;2000;273,825;
180118;2100;277,638;
180118;2200;266,021;
180118;2300;37,1262;
180119;0000;133,604;
180119;0100;166,151;
180119;0200;171,008;
180119;0300;186,222;
180119;0400;72,5739;
180119;0500;89,5955;
180119;0600;140,389;
180119;0700;110,207;
180119;0800;349,935;
180119;0900;316,469;
180119;1000;279,757;
180119;1100;264,485;
180119;1200;265,472;
180119;1300;270,329;
180119;1400;271,607;
180119;1500;266,845;
180119;1600;261,18;
180119;1700;268,782;
180119;1800;271,1;
180119;1900;269,37;
180119;2000;275,949;
180119;2100;270,866;
180119;2200;261,608;
180119;2300;338,793;
180120;0000;317,878;
180120;0100;259,458;
180120;0200;273,89;
180120;0300;219,653;
180120;0400;210,831;
180120;0500;314,225;
180120;0600;258,757;
180120;0700;239,661;
180120;0800;263,165;
180120;0900;268,432;
180120;1000;269,817;
180120;1100;269,423;
180120;1200;273,536;
180120;1300;280,533;
180120;1400;273,315;
180120;1500;274,77;
180120;1600;273,177;
180120;1700;272,883;
180120;1800;276,309;
180120;1900;275,761;
180120;2000;271,942;
180120;2100;265,998;
180120;2200;257,315;
180120;2300;265,936;
180121;0000;283,143;
180121;0100;282,377;
180121;0200;274,921;
180121;0300;273,502;
180121;0400;352,286;
180121;0500;328,041;
180121;0600;343,092;
180121;0700;343,116;
180121;0800;177,251;
180121;0900;285,758;
180121;1000;279,77;
180121;1100;269,439;
180121;1200;276,434;
180121;1300;266,206;
180121;1400;272,821;
180121;1500;270,897;
180121;1600;274,611;
180121;1700;274,417;
180121;1800;277,647;
180121;1900;275,093;
180121;2000;280,368;
180121;2100;295,577;
180121;2200;244,156;
180121;2300;254,364;
180122;0000;267,138;
180122;0100;295,651;
180122;0200;236,512;
180122;0300;136,018;
180122;0400;106,192;
180122;0500;217,174;
180122;0600;152,189;
180122;0700;22,7974;
180122;0800;315,482;
180122;0900;294,456;
180122;1000;275,51;
180122;1100;264,79;
180122;1200;251,018;
180122;1300;248,261;
180122;1400;257,992;
180122;1500;243,024;
180122;1600;243,842;
180122;1700;256,402;
180122;1800;265,094;
180122;1900;271,132;
180122;2000;275,232;
180122;2100;294,531;
180122;2200;280,688;
180122;2300;293,292;
180123;0000;242,976;
180123;0100;226,156;
180123;0200;230,198;
180123;0300;269,649;
180123;0400;168,718;
180123;0500;64,4252;
180123;0600;235,432;
180123;0700;223,884;
180123;0800;269;
180123;0900;276,438;
180123;1000;271,547;
180123;1100;273,633;
180123;1200;276,681;
180123;1300;268,01;
180123;1400;259,985;
180123;1500;260,016;
180123;1600;267,247;
180123;1700;274,619;
180123;1800;277,491;
180123;1900;272,739;
180123;2000;281,321;
180123;2100;317,046;
180123;2200;261,743;
180123;2300;219,763;
180124;0000;252,083;
180124;0100;157,526;
180124;0200;76,7351;
180124;0300;112,883;
180124;0400;178,313;
180124;0500;149,586;
180124;0600;176,166;
180124;0700;169,03;
180124;0800;242,711;
180124;0900;281,728;
180124;1000;270,015;
180124;1100;269,176;
180124;1200;278,667;
180124;1300;272,064;
180124;1400;260,763;
180124;1500;248,029;
180124;1600;254,256;
180124;1700;257,756;
180124;1800;271,096;
180124;1900;274,934;
180124;2000;275,146;
180124;2100;262,783;
180124;2200;253,347;
180124;2300;236,091;
180125;0000;243,891;
180125;0100;280,231;
180125;0200;354,103;
180125;0300;331,268;
180125;0400;215,607;
180125;0500;207,166;
180125;0600;201,253;
180125;0700;250,94;
180125;0800;273,417;
180125;0900;272,088;
180125;1000;266,619;
180125;1100;269,514;
180125;1200;269,169;
180125;1300;267,196;
180125;1400;277,739;
180125;1500;274,106;
180125;1600;267,798;
180125;1700;269,074;
180125;1800;262,661;
180125;1900;270,874;
180125;2000;287,449;
180125;2100;274,314;
180125;2200;245,418;
180125;2300;254,061;
180126;0000;263,218;
180126;0100;246,302;
180126;0200;273,702;
180126;0300;240,282;
180126;0400;164,875;
180126;0500;239,931;
180126;0600;255,67;
180126;0700;253,819;
180126;0800;313,706;
180126;0900;273,246;
180126;1000;288,789;
180126;1100;268,622;
180126;1200;266,695;
180126;1300;261,417;
180126;1400;264,327;
180126;1500;268,796;
180126;1600;270,515;
180126;1700;267,953;
180126;1800;275,657;
180126;1900;275,334;
180126;2000;273,901;
180126;2100;311,762;
180126;2200;299,823;
180126;2300;292,403;
180127;0000;224,577;
180127;0100;340,61;
180127;0200;81,2823;
180127;0300;145,637;
180127;0400;143,519;
180127;0500;176,497;
180127;0600;98,05;
180127;0700;273,879;
180127;0800;258,997;
180127;0900;290,379;
180127;1000;304,727;
180127;1100;276,882;
180127;1200;269,989;
180127;1300;263,823;
180127;1400;276,556;
180127;1500;256,781;
180127;1600;252,037;
180127;1700;258,547;
180127;1800;262,497;
180127;1900;273,216;
180127;2000;261,355;
180127;2100;97,9802;
180127;2200;90,7424;
180127;2300;106,109;
180128;0000;106,613;
180128;0100;107,457;
180128;0200;111,321;
180128;0300;110,958;
180128;0400;155,389;
180128;0500;116,264;
180128;0600;130,627;
180128;0700;117,55;
180128;0800;252,81;
180128;0900;249,015;
180128;1000;277,92;
180128;1100;275,961;
180128;1200;271,894;
180128;1300;261,478;
180128;1400;264,781;
180128;1500;259;
180128;1600;258,584;
180128;1700;258,402;
180128;1800;272,861;
180128;1900;279,033;
180128;2000;307,878;
180128;2100;4,13326;
180128;2200;62,5293;
180128;2300;109,431;
180129;0000;97,9742;
180129;0100;113,924;
180129;0200;120,292;
180129;0300;112,555;
180129;0400;139,921;
180129;0500;118,546;
180129;0600;133,742;
180129;0700;39,2699;
180129;0800;263,855;
180129;0900;264,838;
180129;1000;260,205;
180129;1100;256,587;
180129;1200;274,077;
180129;1300;272,295;
180129;1400;275,801;
180129;1500;271,962;
180129;1600;275,833;
180129;1700;267,397;
180129;1800;266,337;
180129;1900;265,569;
180129;2000;273,231;
180129;2100;264,646;
180129;2200;259,308;
180129;2300;276,812;
180130;0000;233,2;
180130;0100;232,091;
180130;0200;268,724;
180130;0300;273,262;
180130;0400;263,792;
180130;0500;326,224;
180130;0600;11,0317;
180130;0700;100,234;
180130;0800;297,72;
180130;0900;292,877;
180130;1000;325,84;
180130;1100;282,021;
180130;1200;259,742;
180130;1300;270,818;
180130;1400;263,701;
180130;1500;261,071;
180130;1600;247,437;
180130;1700;255,376;
180130;1800;255,513;
180130;1900;273,325;
180130;2000;285,174;
180130;2100;32,9094;
180130;2200;64,9991;
180130;2300;118,831;
180131;0000;105,515;
180131;0100;77,9235;
180131;0200;100,814;
180131;0300;117,667;
180131;0400;147,48;
180131;0500;110,884;
180131;0600;122,108;
180131;0700;183,605;
180131;0800;291,299;
180131;0900;289,565;
180131;1000;256,792;
180131;1100;267,361;
180131;1200;260,914;
180131;1300;270,263;
180131;1400;264,579;
180131;1500;274,445;
180131;1600;280,086;
180131;1700;278,441;
180131;1800;272,835;
180131;1900;268,935;
180131;2000;282,652;
180131;2100;305,108;
180131;2200;239,474;
180131;2300;218,021;
180201;0000;206,586;
180201;0100;218,892;
180201;0200;119,209;
180201;0300;103,415;
180201;0400;151,849;
180201;0500;124,295;
180201;0600;93,4935;
180201;0700;39,7605;
180201;0800;267,655;
180201;0900;321,117;
180201;1000;277,17;
180201;1100;264,604;
180201;1200;266,545;
180201;1300;273,379;
180201;1400;274,31;
180201;1500;269,701;
180201;1600;271,488;
180201;1700;271,323;
180201;1800;269,598;
180201;1900;267,458;
180201;2000;270,448;
180201;2100;282,896;
180201;2200;273,146;
180201;2300;253,389;
180202;0000;264,059;
180202;0100;238,129;
180202;0200;253,643;
180202;0300;250,272;
180202;0400;238,029;
180202;0500;239,101;
180202;0600;221,357;
180202;0700;267,984;
180202;0800;298,443;
180202;0900;291,716;
180202;1000;267,527;
180202;1100;268,379;
180202;1200;261,909;
180202;1300;274,702;
180202;1400;275,382;
180202;1500;270,357;
180202;1600;278,089;
180202;1700;275,341;
180202;1800;273,334;
180202;1900;276,876;
180202;2000;293,371;
180202;2100;337,955;
180202;2200;309,4;
180202;2300;328,906;
180203;0000;302,14;
180203;0100;227,517;
180203;0200;238,484;
180203;0300;256,181;
180203;0400;284,58;
180203;0500;277,129;
180203;0600;296,887;
180203;0700;260,142;
180203;0800;275,633;
180203;0900;302,55;
180203;1000;284,911;
180203;1100;272,779;
180203;1200;271,464;
180203;1300;277,542;
180203;1400;275,783;
180203;1500;274,06;
180203;1600;276,474;
180203;1700;277,19;
180203;1800;273,041;
180203;1900;274,874;
180203;2000;285,848;
180203;2100;306,225;
180203;2200;313,506;
180203;2300;295,08;
180204;0000;301,428;
180204;0100;235,087;
180204;0200;257,593;
180204;0300;204,898;
180204;0400;112,538;
180204;0500;120,166;
180204;0600;206,894;
180204;0700;256,697;
180204;0800;312,393;
180204;0900;315,393;
180204;1000;267,091;
180204;1100;269,798;
180204;1200;265,498;
180204;1300;268,991;
180204;1400;278,165;
180204;1500;269,137;
180204;1600;272,135;
180204;1700;270,922;
180204;1800;273,28;
180204;1900;273,093;
180204;2000;278,825;
180204;2100;265,786;
180204;2200;262,682;
180204;2300;264,186;
180205;0000;226,674;
180205;0100;222,201;
180205;0200;227,365;
180205;0300;214,52;
180205;0400;234,205;
180205;0500;237,84;
180205;0600;255,389;
180205;0700;258,863;
180205;0800;298,915;
180205;0900;289,363;
180205;1000;282,385;
180205;1100;266,92;
180205;1200;273,634;
180205;1300;275,066;
180205;1400;273,292;
180205;1500;273,799;
180205;1600;274,585;
180205;1700;275,376;
180205;1800;274,273;
180205;1900;273,006;
180205;2000;285,155;
180205;2100;278,502;
180205;2200;263,181;
180205;2300;106,494;
180206;0000;278,656;
180206;0100;216,351;
180206;0200;228,574;
180206;0300;238,108;
180206;0400;261,692;
180206;0500;231,422;
180206;0600;258,754;
180206;0700;275,604;
180206;0800;357,281;
180206;0900;301,968;
180206;1000;267,593;
180206;1100;271,277;
180206;1200;281,338;
180206;1300;274,092;
180206;1400;280,472;
180206;1500;274,113;
180206;1600;275,268;
180206;1700;275,612;
180206;1800;269,353;
180206;1900;270,482;
180206;2000;294,609;
180206;2100;269,024;
180206;2200;285,576;
180206;2300;307,374;
180207;0000;310,007;
180207;0100;353,004;
180207;0200;221,721;
180207;0300;72,9928;
180207;0400;176,51;
180207;0500;41,7225;
180207;0600;235,906;
180207;0700;57,5682;
180207;0800;330,35;
180207;0900;308,642;
180207;1000;280,7;
180207;1100;273,312;
180207;1200;286,381;
180207;1300;272,775;
180207;1400;272,368;
180207;1500;273,482;
180207;1600;276,178;
180207;1700;269,165;
180207;1800;267,22;
180207;1900;270,236;
180207;2000;275,49;
180207;2100;274,66;
180207;2200;285,206;
180207;2300;229,716;
180208;0000;210,824;
180208;0100;210,202;
180208;0200;340,538;
180208;0300;167,772;
180208;0400;165,48;
180208;0500;161,595;
180208;0600;207,954;
180208;0700;78,4861;
180208;0800;358,746;
180208;0900;317,781;
180208;1000;297,849;
180208;1100;261,91;
180208;1200;270,286;
180208;1300;268,415;
180208;1400;273,925;
180208;1500;265,518;
180208;1600;261,99;
180208;1700;273,267;
180208;1800;267,642;
180208;1900;270,811;
180208;2000;271,762;
180208;2100;260,627;
180208;2200;284,883;
180208;2300;284,509;
180209;0000;142,782;
180209;0100;117,762;
180209;0200;32,0068;
180209;0300;70,5925;
180209;0400;111,74;
180209;0500;137,929;
180209;0600;116,415;
180209;0700;344,265;
180209;0800;320,968;
180209;0900;323,525;
180209;1000;295,116;
180209;1100;266,727;
180209;1200;257,678;
180209;1300;258,888;
180209;1400;256,65;
180209;1500;246,973;
180209;1600;246,231;
180209;1700;265,894;
180209;1800;266,52;
180209;1900;252,687;
180209;2000;171,265;
180209;2100;189,93;
180209;2200;153,806;
180209;2300;170,842;
180210;0000;176,359;
180210;0100;133,906;
180210;0200;184,045;
180210;0300;86,7968;
180210;0400;73,1591;
180210;0500;86,4059;
180210;0600;151,414;
180210;0700;194,41;
180210;0800;291,592;
180210;0900;257,268;
180210;1000;267,426;
180210;1100;271,708;
180210;1200;271,794;
180210;1300;268,915;
180210;1400;263,988;
180210;1500;253,096;
180210;1600;250,521;
180210;1700;261,687;
180210;1800;258,065;
180210;1900;267,469;
180210;2000;284,641;
180210;2100;311,742;
180210;2200;335,823;
180210;2300;42,9233;
180211;0000;105,743;
180211;0100;99,8478;
180211;0200;99,4039;
180211;0300;141,106;
180211;0400;106,464;
180211;0500;147,505;
180211;0600;107,6;
180211;0700;100,372;
180211;0800;256,235;
180211;0900;252,374;
180211;1000;269,996;
180211;1100;290,209;
180211;1200;267,842;
180211;1300;258,01;
180211;1400;269,812;
180211;1500;261,456;
180211;1600;262,259;
180211;1700;261,112;
180211;1800;269,542;
180211;1900;265,678;
180211;2000;265,297;
180211;2100;351,233;
180211;2200;118,952;
180211;2300;97,2025;
180212;0000;106,898;
180212;0100;138,686;
180212;0200;144,078;
180212;0300;134,528;
180212;0400;106,645;
180212;0500;111,656;
180212;0600;123,595;
180212;0700;172,252;
180212;0800;179,766;
180212;0900;272,143;
180212;1000;309,663;
180212;1100;272,31;
180212;1200;267,155;
180212;1300;261,976;
180212;1400;272,227;
180212;1500;271,19;
180212;1600;274,422;
180212;1700;267,565;
180212;1800;272,948;
180212;1900;276,403;
180212;2000;259,458;
180212;2100;233,163;
180212;2200;176,119;
180212;2300;134,533;
180213;0000;124,347;
180213;0100;118,664;
180213;0200;129,429;
180213;0300;126,801;
180213;0400;117,581;
180213;0500;125,388;
180213;0600;119,462;
180213;0700;111,057;
180213;0800;207,114;
180213;0900;281,085;
180213;1000;268,748;
180213;1100;272,57;
180213;1200;278,868;
180213;1300;275,472;
180213;1400;275,265;
180213;1500;277,452;
180213;1600;274,797;
180213;1700;272,199;
180213;1800;268,906;
180213;1900;274,131;
180213;2000;277,496;
180213;2100;271,188;
180213;2200;285,922;
180213;2300;265,164;
180214;0000;319,983;
180214;0100;296,843;
180214;0200;259,127;
180214;0300;244,787;
180214;0400;249,986;
180214;0500;266,562;
180214;0600;248,002;
180214;0700;249,474;
180214;0800;313,152;
180214;0900;330,514;
