FECHA (YYMMDD);HORA (HHMM);;
180111;1300;205,15;
180111;1400;202,695;
180111;1500;205,308;
180111;1600;202,917;
180111;1700;197,913;
180111;1800;184,035;
180111;1900;180,579;
180111;2000;185,121;
180111;2100;178,32;
180111;2200;184,742;
180111;2300;190,25;
180112;0000;182,167;
180112;0100;168,994;
180112;0200;193,575;
180112;0300;231,323;
180112;0400;214,13;
180112;0500;200,591;
180112;0600;182,054;
180112;0700;177,147;
180112;0800;200,152;
180112;0900;193,028;
180112;1000;210,616;
180112;1100;202,935;
180112;1200;199,004;
180112;1300;205,602;
180112;1400;204,928;
180112;1500;203,819;
180112;1600;208,928;
180112;1700;195,591;
180112;1800;197,448;
180112;1900;188,897;
180112;2000;183,084;
180112;2100;185,288;
180112;2200;181,175;
180112;2300;186,31;
180113;0000;172,535;
180113;0100;204,334;
180113;0200;191,747;
180113;0300;203,664;
180113;0400;195,94;
180113;0500;189,365;
180113;0600;188,67;
180113;0700;199,879;
180113;0800;187,783;
180113;0900;208,302;
180113;1000;207,583;
180113;1100;211,409;
180113;1200;199,321;
180113;1300;209,62;
180113;1400;197,801;
180113;1500;198,823;
180113;1600;204,91;
180113;1700;204,572;
180113;1800;197,379;
180113;1900;183,466;
180113;2000;188,494;
180113;2100;186,668;
180113;2200;185,163;
180113;2300;185,981;
180114;0000;189,025;
180114;0100;197,902;
180114;0200;197,534;
180114;0300;196,816;
180114;0400;185,865;
180114;0500;181,437;
180114;0600;170,74;
180114;0700;208,028;
180114;0800;207,247;
180114;0900;193,993;
180114;1000;197,535;
180114;1100;206,801;
180114;1200;205,325;
180114;1300;205,31;
180114;1400;199,436;
180114;1500;195,544;
180114;1600;197,252;
180114;1700;195,354;
180114;1800;197,604;
180114;1900;190,137;
180114;2000;195,54;
180114;2100;189,887;
180114;2200;176,598;
180114;2300;194,424;
180115;0000;192,452;
180115;0100;186,086;
180115;0200;200,946;
180115;0300;205,074;
180115;0400;208,399;
180115;0500;191,423;
180115;0600;182,136;
180115;0700;199,453;
180115;0800;207,646;
180115;0900;202,906;
180115;1000;194,814;
180115;1100;192,977;
180115;1200;193,813;
180115;1300;211,746;
180115;1400;212,614;
180115;1500;195,474;
180115;1600;191,202;
180115;1700;212,832;
180115;1800;201,892;
180115;1900;194,124;
180115;2000;181,115;
180115;2100;173,994;
180115;2200;181,14;
180115;2300;181,73;
180116;0000;182,401;
180116;0100;201,432;
180116;0200;199,216;
180116;0300;200,067;
180116;0400;187,135;
180116;0500;199,79;
180116;0600;195,163;
180116;0700;186,539;
180116;0800;203,084;
180116;0900;173,115;
180116;1000;199,245;
180116;1100;213,203;
180116;1200;208,068;
180116;1300;207,593;
180116;1400;201,752;
180116;1500;203,31;
180116;1600;209,26;
180116;1700;207,84;
180116;1800;216,648;
180116;1900;200,106;
180116;2000;184,964;
180116;2100;178,942;
180116;2200;195,487;
180116;2300;176,158;
180117;0000;163,143;
180117;0100;230,059;
180117;0200;212,045;
180117;0300;180,712;
180117;0400;228,695;
180117;0500;188,16;
180117;0600;222,588;
180117;0700;107,72;
180117;0800;359,588;
180117;0900;354,043;
180117;1000;212,063;
180117;1100;211,734;
180117;1200;209,344;
180117;1300;212,56;
180117;1400;215,03;
180117;1500;200,712;
180117;1600;219,299;
180117;1700;223,016;
180117;1800;227,191;
180117;1900;212,606;
180117;2000;204,328;
180117;2100;162,441;
180117;2200;161,829;
180117;2300;197,682;
180118;0000;204,539;
180118;0100;209,844;
180118;0200;55,9186;
180118;0300;306,881;
180118;0400;19,3647;
180118;0500;353,008;
180118;0600;20,2247;
180118;0700;354,716;
180118;0800;358,485;
180118;0900;325,232;
180118;1000;204,252;
180118;1100;206,494;
180118;1200;211,913;
180118;1300;203,808;
180118;1400;201,508;
180118;1500;209,62;
180118;1600;229,317;
180118;1700;225,309;
180118;1800;216,652;
180118;1900;206,968;
180118;2000;182,205;
180118;2100;181,922;
180118;2200;178,616;
180118;2300;123,376;
180119;0000;289,411;
180119;0100;209,948;
180119;0200;180,965;
180119;0300;186,841;
180119;0400;264,786;
180119;0500;333,858;
180119;0600;300,742;
180119;0700;295,362;
180119;0800;208,942;
180119;0900;189,886;
180119;1000;199,501;
180119;1100;208,37;
180119;1200;203,188;
180119;1300;204,325;
180119;1400;199,295;
180119;1500;196,033;
180119;1600;194,181;
180119;1700;203,12;
180119;1800;200,018;
180119;1900;202,436;
180119;2000;181,348;
180119;2100;180,387;
180119;2200;179,031;
180119;2300;169,914;
180120;0000;193,958;
180120;0100;184,028;
