FECHA (YYMMDD);HORA (HHMM);;
180110;1600;3,83277;
180110;1700;3,44096;
180110;1800;3,00703;
180110;1900;2,27268;
180110;2000;1,90613;
180110;2100;1,46612;
180110;2200;0,953685;
180110;2300;1,1272;
180111;0000;1,00175;
180111;0100;0,962839;
180111;0200;0,797545;
180111;0300;0,570983;
180111;0400;0,689471;
180111;0500;0,669807;
180111;0600;1,06926;
180111;0700;1,46544;
180111;0800;0,460404;
180111;0900;0,706758;
180111;1000;1,4985;
180111;1100;1,6745;
180111;1200;2,99676;
180111;1300;3,23329;
180111;1400;3,22999;
180111;1500;3,2298;
180111;1600;3,6207;
180111;1700;3,05049;
180111;1800;2,7043;
180111;1900;2,41991;
180111;2000;1,78888;
180111;2100;1,46759;
180111;2200;1,19197;
180111;2300;1,15601;
180112;0000;1,28335;
180112;0100;0,999361;
180112;0200;0,629576;
180112;0300;0,638137;
180112;0400;0,6888;
180112;0500;0,982684;
180112;0600;0,9593;
180112;0700;1,30551;
180112;0800;1,75459;
180112;0900;1,52609;
180112;1000;1,92957;
180112;1100;1,90297;
180112;1200;2,68422;
180112;1300;3,16975;
180112;1400;2,65129;
180112;1500;3,2456;
180112;1600;3,22268;
180112;1700;2,99799;
180112;1800;2,69966;
180112;1900;2,02115;
180112;2000;1,80108;
180112;2100;1,63475;
180112;2200;1,42159;
180112;2300;1,14053;
180113;0000;0,894903;
180113;0100;0,888922;
180113;0200;0,823884;
180113;0300;0,97396;
180113;0400;1,02804;
180113;0500;0,747676;
180113;0600;1,09422;
180113;0700;1,07146;
180113;0800;1,19352;
180113;0900;0,985025;
180113;1000;0,795141;
180113;1100;0,597898;
180113;1200;1,37053;
180113;1300;1,99292;
180113;1400;2,78601;
180113;1500;2,49248;
180113;1600;2,56338;
180113;1700;2,17657;
180113;1800;2,41418;
180113;1900;2,1095;
180113;2000;1,51463;
180113;2100;1,25799;
180113;2200;0,950457;
180113;2300;1,12583;
180114;0000;1,07442;
180114;0100;1,03321;
180114;0200;0,292282;
180114;0300;0,532805;
180114;0400;0,43526;
180114;0500;0,460064;
180114;0600;0,739302;
180114;0700;0,936149;
180114;0800;1,11402;
180114;0900;1,66481;
180114;1000;1,97271;
180114;1100;2,98539;
180114;1200;3,31566;
180114;1300;2,7803;
180114;1400;3,35374;
180114;1500;3,67798;
180114;1600;2,92015;
180114;1700;2,97553;
180114;1800;2,20306;
180114;1900;2,47571;
180114;2000;2,00465;
180114;2100;2,03852;
180114;2200;1,30728;
180114;2300;1,59797;
